id_production_companies,name_production_companies
46417,American National Enterprises
3383,777 Films Corporation
36765,Adventure Pictures
10807,Troublemaker Studios
2308,Type A Films
3033,Asmik Ace Entertainment
8822,Green Light Media
6309,Ministry Of Information
21321,Mp Productions
599,Solar Productions
2690,Screen Yorkshire
7819,Lotte Entertainment
78137,Hunan Broadcasting System
18817,Waterbury Films
8478,Terrafilm
14185,Canadian Film Centre (Cfc)
43456,Ctm Lev Pictures
3443,Zulu Dawn Nv
3725,Mukta Arts Ltd
21108,Fernando Trueba Producciones Cinematográficas
8170,Club D'Investissement Média
10525,Bastard Film
644,Alcor Films
15479,Scream Hq
11571,Samson Films
8488,Ameran Films
33616,Sprout Pictures
16260,Shrink Media Inc.
56,Amblin Entertainment
15268,Bkm Film
3170,Slb Films Pvt. Ltd.
816,Filmengine
308,The Weinstein Company
28317,Srf Zwei
123,Trust Film
